ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,SMA_100,EMA_100,rolling_std_100,bollinger_upper,bollinger_lower,yhat_ensemble
2025-03-25,113.76949314640923,107.42681323027831,120.19447313920328,113.76949314640923,113.76949314640923,0.04206776928377473,0.04206776928377473,0.04206776928377473,0.01893339063365234,0.01893339063365234,0.01893339063365234,-0.029969326757756022,-0.029969326757756022,-0.029969326757756022,0.053103705407878406,0.053103705407878406,0.053103705407878406,0.0,0.0,0.0,113.81156091569301,131.13987590820028,125.62634287874755,8.545320955727936,148.23051781965614,114.0492339967444,116.74283103822108
2025-03-26,113.6048406030138,107.45109170492906,120.35278170806276,113.6048406030138,113.6048406030138,0.2766574779335541,0.2766574779335541,0.2766574779335541,0.2520181241400323,0.2520181241400323,0.2520181241400323,0.036454951321620514,0.036454951321620514,0.036454951321620514,-0.011815597528098687,-0.011815597528098687,-0.011815597528098687,0.0,0.0,0.0,113.88149808094735,130.92887460541496,125.39377169463269,8.708447600675573,148.3457698067661,113.51197940406382,116.81276820347543
2025-03-27,113.44018805961845,107.19843862402776,120.07811071643951,113.44018805961845,113.44018805961845,0.18001589301875517,0.18001589301875517,0.18001589301875517,0.23248131018263862,0.23248131018263862,0.23248131018263862,0.09951381637566765,0.09951381637566765,0.09951381637566765,-0.15197923353955103,-0.15197923353955103,-0.15197923353955103,0.0,0.0,0.0,113.62020395263721,130.7125891760698,125.16063173934566,8.867213326904595,148.44701582987898,112.9781625222606,121.02955673202564
2025-03-28,113.275535516223,107.11616719830121,120.06148147665887,113.275535516223,113.275535516223,0.19198846866937486,0.19198846866937486,0.19198846866937486,0.07874845179092332,0.07874845179092332,0.07874845179092332,0.0513587839280173,0.0513587839280173,0.0513587839280173,0.061881232950434226,0.061881232950434226,0.061881232950434226,0.0,0.0,0.0,113.46752398489238,130.49240115364887,124.92908505113866,9.01954957429512,148.53150030223912,112.45330200505863,121.78988879202129
2025-03-31,113.00583904784455,106.58236351978024,119.15670037225502,113.00583904784455,113.00583904784455,-0.09700829491501059,-0.09700829491501059,-0.09700829491501059,-0.156510502275155,-0.156510502275155,-0.156510502275155,-0.053597350280001635,-0.053597350280001635,-0.053597350280001635,0.11309955764014606,0.11309955764014606,0.11309955764014606,0.0,0.0,0.0,112.90883075292953,130.2658339051388,124.69106021355036,9.174066962133034,148.61396782940488,111.91769998087274,121.29818355139145
2025-04-01,112.91594022505176,106.20548686970218,119.29918079996646,112.91594022505176,112.91594022505176,-0.2370434810993116,-0.2370434810993116,-0.2370434810993116,-0.3518012217265512,-0.3518012217265512,-0.3518012217265512,-0.029969326757694252,-0.029969326757694252,-0.029969326757694252,0.14472706738493385,0.14472706738493385,0.14472706738493385,0.0,0.0,0.0,112.67889674395245,130.03246837373106,124.45319559039,9.32195371512063,148.67637580397232,111.38856094348981,121.02957328051251
2025-04-02,112.82604140225897,105.70849047103748,118.57635443649365,112.82604140225897,112.82604140225897,-0.592319393574474,-0.592319393574474,-0.592319393574474,-0.37031413403921914,-0.37031413403921914,-0.37031413403921914,0.03645495132170163,0.03645495132170163,0.03645495132170163,-0.2584602108569564,-0.2584602108569564,-0.2584602108569564,0.0,0.0,0.0,112.2337220086845,129.79166462838333,124.21122581649483,9.467926271805156,148.72751717199364,110.85581208477302,120.75426319978557
2025-04-03,112.7361425794663,105.83393656756562,119.01662735146401,112.7361425794663,112.7361425794663,-0.3185705390455952,-0.3185705390455952,-0.3185705390455952,-0.3377853245765826,-0.3377853245765826,-0.3377853245765826,0.09951381637566258,0.09951381637566258,0.09951381637566258,-0.08029903084467513,-0.08029903084467513,-0.08029903084467513,0.0,0.0,0.0,112.41757204042071,129.54602528815948,123.9776881179587,9.597270532540335,148.74056635324015,110.35148422307881,120.93811323152178
2025-04-04,112.73818219472194,106.14906233451674,119.11424348223917,112.73818219472194,112.73818219472194,-0.30623296165206837,-0.30623296165206837,-0.30623296165206837,-0.3449895287981787,-0.3449895287981787,-0.3449895287981787,0.051358783927910934,0.051358783927910934,0.051358783927910934,-0.012602216781800681,-0.012602216781800681,-0.012602216781800681,0.0,0.0,0.0,112.43194923306987,129.2932214926894,123.74905962518862,9.712256484681118,148.71773446205165,109.86870852332717,114.89542970563457
2025-04-07,112.74430104048884,106.30882153328832,119.38183326349728,112.74430104048884,112.74430104048884,0.07159315147726932,0.07159315147726932,0.07159315147726932,-0.2616792494015207,-0.2616792494015207,-0.2616792494015207,-0.05359735027999284,-0.05359735027999284,-0.05359735027999284,0.3868697511587828,0.3868697511587828,0.3868697511587828,0.0,0.0,0.0,112.81589419196611,129.04575315283375,123.53256129977827,9.814161172592335,148.67407549801842,109.41743080764908,114.7914220745421
