,scores,ds
3141,0,20110719
3142,0,20110720
3143,0,20110721
3144,0,20110722
3145,0,20110725
3146,0,20110726
3147,0,20110727
3148,0,20110728
3149,0,20110729
3150,0,20110801
3151,0,20110802
3152,0,20110803
3153,0,20110804
3154,0,20110805
3155,0,20110808
3156,0,20110809
3157,0,20110810
3158,0,20110811
3159,0,20110812
3160,0,20110815
3161,0,20110816
3162,0,20110817
3163,0,20110818
3164,0,20110819
3165,0,20110822
3166,0,20110823
3167,0,20110824
3168,0,20110825
3169,0,20110826
3170,0,20110829
3171,0,20110830
3172,0,20110831
3173,0,20110901
3174,0,20110902
3175,0,20110906
3176,0,20110907
3177,0,20110908
3178,0,20110909
3179,0,20110912
3180,0,20110913
3181,0,20110914
3182,0,20110915
3183,0,20110916
3184,0,20110919
3185,0,20110920
3186,0,20110921
3187,0,20110922
3188,0,20110923
3189,0,20110926
3190,0,20110927
3191,0,20110928
3192,0,20110929
3193,0,20110930
3194,0,20111003
3195,0,20111004
3196,0,20111005
3197,0,20111006
3198,0,20111007
3199,0,20111010
3200,0,20111011
3201,0,20111012
3202,0,20111013
3203,0,20111014
3204,0,20111017
3205,0,20111018
3206,0,20111019
3207,0,20111020
3208,0,20111021
3209,0,20111024
3210,0,20111025
3211,0,20111026
3212,0,20111027
3213,0,20111028
3214,0,20111031
3215,0,20111101
3216,0,20111102
3217,0,20111103
3218,0,20111104
3219,0,20111107
3220,0,20111108
3221,0,20111109
3222,0,20111110
3223,0,20111111
3224,0,20111114
3225,0,20111115
3226,0,20111116
3227,0,20111117
3228,0,20111118
3229,0,20111121
3230,0,20111122
3231,0,20111123
3232,0,20111125
3233,0,20111128
3234,0,20111129
3235,0,20111130
3236,0,20111201
3237,0,20111202
3238,0,20111205
3239,0,20111206
3240,0,20111207
3241,0,20111208
3242,0,20111209
3243,0,20111212
3244,0,20111213
3245,0,20111214
3246,0,20111215
3247,0,20111216
3248,0,20111219
3249,0,20111220
3250,0,20111221
3251,0,20111222
3252,0,20111223
3253,0,20111227
3254,0,20111228
3255,0,20111229
3256,0,20111230
3257,0,20120103
3258,0,20120104
3259,0,20120105
3260,0,20120106
3261,0,20120109
3262,0,20120110
3263,0,20120111
3264,0,20120112
3265,0,20120113
3266,0,20120117
3267,0,20120118
3268,0,20120119
3269,0,20120120
3270,0,20120123
3271,0,20120124
3272,0,20120125
3273,0,20120126
3274,0,20120127
3275,0,20120130
3276,0,20120131
3277,0,20120201
3278,0,20120202
3279,0,20120203
3280,0,20120206
3281,0,20120207
3282,0,20120208
3283,0,20120209
3284,0,20120210
3285,0,20120213
3286,0,20120214
3287,0,20120215
3288,0,20120216
3289,0,20120217
3290,0,20120221
3291,0,20120222
3292,0,20120223
3293,0,20120224
3294,0,20120227
3295,0,20120228
3296,0,20120229
3297,0,20120301
3298,0,20120302
3299,0,20120305
3300,0,20120306
3301,0,20120307
3302,0,20120308
3303,0,20120309
3304,0,20120312
3305,0,20120313
3306,0,20120314
3307,0,20120315
3308,0,20120316
3309,0,20120319
3310,0,20120320
3311,0,20120321
3312,0,20120322
3313,0,20120323
3314,0,20120326
3315,0,20120327
3316,0,20120328
3317,0,20120329
3318,0,20120330
3319,0,20120402
3320,0,20120403
3321,0,20120404
3322,0,20120405
3323,0,20120409
3324,0,20120410
3325,0,20120411
3326,0,20120412
3327,0,20120413
3328,0,20120416
3329,0,20120417
3330,0,20120418
3331,0,20120419
3332,0,20120420
3333,0,20120423
3334,0,20120424
3335,0,20120425
3336,0,20120426
3337,0,20120427
3338,0,20120430
3339,0,20120501
3340,0,20120502
3341,0,20120503
3342,0,20120504
3343,0,20120507
3344,0,20120508
3345,0,20120509
3346,0,20120510
3347,0,20120511
3348,0,20120514
3349,0,20120515
3350,0,20120516
3351,0,20120517
3352,0,20120518
3353,0,20120521
3354,0,20120522
3355,0,20120523
3356,0,20120524
3357,0,20120525
3358,0,20120529
3359,0,20120530
3360,0,20120531
3361,0,20120601
3362,0,20120604
3363,0,20120605
3364,0,20120606
3365,0,20120607
3366,0,20120608
3367,0,20120611
3368,0,20120612
3369,0,20120613
3370,0,20120614
3371,0,20120615
3372,0,20120618
3373,0,20120619
3374,0,20120620
3375,0,20120621
3376,0,20120622
3377,0,20120625
3378,0,20120626
3379,0,20120627
3380,0,20120628
3381,0,20120629
3382,0,20120702
3383,0,20120703
3384,0,20120705
3385,0,20120706
3386,0,20120709
3387,0,20120710
3388,0,20120711
3389,0,20120712
3390,0,20120713
3391,0,20120716
3392,0,20120717
3393,0,20120718
3394,0,20120719
3395,0,20120720
3396,0,20120723
3397,0,20120724
3398,0,20120725
3399,0,20120726
3400,0,20120727
3401,0,20120730
3402,0,20120731
3403,0,20120801
3404,0,20120802
3405,0,20120803
3406,0,20120806
3407,0,20120807
3408,0,20120808
3409,0,20120809
3410,0,20120810
3411,0,20120813
3412,0,20120814
3413,0,20120815
3414,0,20120816
3415,0,20120817
3416,0,20120820
3417,0,20120821
3418,0,20120822
3419,0,20120823
3420,0,20120824
3421,0,20120827
3422,0,20120828
3423,0,20120829
3424,0,20120830
3425,0,20120831
3426,0,20120904
3427,0,20120905
3428,0,20120906
3429,0,20120907
3430,0,20120910
3431,0,20120911
3432,0,20120912
3433,0,20120913
3434,0,20120914
3435,0,20120917
3436,0,20120918
3437,0,20120919
3438,0,20120920
3439,0,20120921
3440,0,20120924
3441,0,20120925
3442,0,20120926
3443,0,20120927
3444,0,20120928
3445,0,20121001
3446,0,20121002
3447,0,20121003
3448,0,20121004
3449,0,20121005
3450,0,20121008
3451,0,20121009
3452,0,20121010
3453,0,20121011
3454,0,20121012
3455,0,20121015
3456,0,20121016
3457,0,20121017
3458,0,20121018
3459,0,20121019
3460,0,20121022
3461,0,20121023
3462,0,20121024
3463,0,20121025
3464,0,20121026
3465,0,20121031
3466,0,20121101
3467,0,20121102
3468,0,20121105
3469,0,20121106
3470,0,20121107
3471,0,20121108
3472,0,20121109
3473,0,20121112
3474,0,20121113
3475,0,20121114
3476,0,20121115
3477,0,20121116
3478,0,20121119
3479,0,20121120
3480,0,20121121
3481,0,20121123
3482,0,20121126
3483,0,20121127
3484,0,20121128
3485,0,20121129
3486,0,20121130
3487,0,20121203
3488,0,20121204
3489,0,20121205
3490,0,20121206
3491,0,20121207
3492,0,20121210
3493,0,20121211
3494,0,20121212
3495,0,20121213
3496,0,20121214
3497,0,20121217
3498,0,20121218
3499,0,20121219
3500,0,20121220
3501,0,20121221
3502,0,20121224
3503,0,20121226
3504,0,20121227
3505,0,20121228
3506,0,20121231
3507,0,20130102
3508,0,20130103
3509,0,20130104
3510,0,20130107
3511,0,20130108
3512,0,20130109
3513,0,20130110
3514,0,20130111
3515,0,20130114
3516,0,20130115
3517,0,20130116
3518,0,20130117
3519,0,20130118
3520,0,20130122
3521,0,20130123
3522,0,20130124
3523,0,20130125
3524,0,20130128
3525,0,20130129
3526,0,20130130
3527,0,20130131
3528,0,20130201
3529,0,20130204
3530,0,20130205
3531,0,20130206
3532,0,20130207
3533,0,20130208
3534,0,20130211
3535,0,20130212
3536,0,20130213
3537,0,20130214
3538,0,20130215
3539,0,20130219
3540,0,20130220
3541,0,20130221
3542,0,20130222
3543,0,20130225
3544,0,20130226
3545,0,20130227
3546,0,20130228
3547,0,20130301
3548,0,20130304
3549,0,20130305
3550,0,20130306
3551,0,20130307
3552,0,20130308
3553,0,20130311
3554,0,20130312
3555,0,20130313
3556,0,20130314
3557,0,20130315
3558,0,20130318
3559,0,20130319
3560,0,20130320
3561,0,20130321
3562,0,20130322
3563,0,20130325
3564,0,20130326
3565,0,20130327
3566,0,20130328
3567,0,20130401
3568,0,20130402
3569,0,20130403
3570,0,20130404
3571,0,20130405
3572,0,20130408
3573,0,20130409
3574,0,20130410
3575,0,20130411
3576,0,20130412
3577,0,20130415
3578,0,20130416
3579,0,20130417
3580,0,20130418
3581,0,20130419
3582,0,20130422
3583,0,20130423
3584,0,20130424
3585,0,20130425
3586,0,20130426
3587,0,20130429
3588,0,20130430
3589,0,20130501
3590,0,20130502
3591,0,20130503
3592,0,20130506
3593,0,20130507
3594,0,20130508
3595,0,20130509
3596,0,20130510
3597,0,20130513
3598,0,20130514
3599,0,20130515
3600,0,20130516
3601,0,20130517
3602,0,20130520
3603,0,20130521
3604,0,20130522
3605,0,20130523
3606,0,20130524
3607,0,20130528
3608,0,20130529
3609,0,20130530
3610,0,20130531
3611,0,20130603
3612,0,20130604
3613,0,20130605
3614,0,20130606
3615,0,20130607
3616,0,20130610
3617,0,20130611
3618,0,20130612
3619,0,20130613
3620,0,20130614
3621,0,20130617
3622,0,20130618
3623,0,20130619
3624,0,20130620
3625,0,20130621
3626,0,20130624
