,ds,score
223,2019-02-19 00:00:00-05:00,0.0
224,2019-02-15 00:00:00-05:00,0.0
225,2019-02-14 00:00:00-05:00,0.0
226,2019-02-13 00:00:00-05:00,0.0
227,2019-02-12 00:00:00-05:00,0.0
228,2019-02-11 00:00:00-05:00,0.0
229,2019-02-08 00:00:00-05:00,0.0
230,2019-02-07 00:00:00-05:00,0.0
231,2019-02-06 00:00:00-05:00,0.0
232,2019-02-05 00:00:00-05:00,0.0
233,2019-02-04 00:00:00-05:00,0.0
234,2019-02-01 00:00:00-05:00,0.0
235,2019-01-31 00:00:00-05:00,0.0
236,2019-01-30 00:00:00-05:00,0.0
237,2019-01-29 00:00:00-05:00,0.0
238,2019-01-28 00:00:00-05:00,0.0
239,2019-01-25 00:00:00-05:00,0.0
240,2019-01-24 00:00:00-05:00,0.0
241,2019-01-23 00:00:00-05:00,0.0
242,2019-01-22 00:00:00-05:00,0.0
243,2019-01-18 00:00:00-05:00,0.0
244,2019-01-17 00:00:00-05:00,0.0
245,2019-01-16 00:00:00-05:00,0.0
246,2019-01-15 00:00:00-05:00,0.0
247,2019-01-14 00:00:00-05:00,0.0
248,2019-01-11 00:00:00-05:00,0.0
249,2019-01-10 00:00:00-05:00,0.0
250,2019-01-09 00:00:00-05:00,0.0
251,2019-01-08 00:00:00-05:00,0.0
252,2019-01-07 00:00:00-05:00,0.0
253,2019-01-04 00:00:00-05:00,0.0
254,2019-01-03 00:00:00-05:00,0.0
255,2019-01-02 00:00:00-05:00,0.0
256,2018-12-31 00:00:00-05:00,0.0
257,2018-12-28 00:00:00-05:00,0.0
258,2018-12-27 00:00:00-05:00,0.0
259,2018-12-26 00:00:00-05:00,0.0
260,2018-12-24 00:00:00-05:00,0.0
261,2018-12-21 00:00:00-05:00,0.0
262,2018-12-20 00:00:00-05:00,0.0
263,2018-12-19 00:00:00-05:00,0.0
264,2018-12-18 00:00:00-05:00,0.0
265,2018-12-17 00:00:00-05:00,0.0
266,2018-12-14 00:00:00-05:00,0.0
267,2018-12-13 00:00:00-05:00,0.0
268,2018-12-12 00:00:00-05:00,0.0
269,2018-12-11 00:00:00-05:00,0.0
270,2018-12-10 00:00:00-05:00,0.0
271,2018-12-07 00:00:00-05:00,0.0
272,2018-12-06 00:00:00-05:00,0.0
273,2018-12-04 00:00:00-05:00,0.0
274,2017-04-05 00:00:00-04:00,0.0
275,2017-04-04 00:00:00-04:00,0.0
276,2017-04-03 00:00:00-04:00,0.0
277,2017-03-31 00:00:00-04:00,0.0
278,2017-03-30 00:00:00-04:00,0.0
279,2017-03-29 00:00:00-04:00,0.0
280,2017-03-28 00:00:00-04:00,0.0
281,2017-03-27 00:00:00-04:00,0.0
282,2017-03-24 00:00:00-04:00,0.0
283,2017-03-23 00:00:00-04:00,0.0
284,2017-03-22 00:00:00-04:00,0.0
285,2017-03-21 00:00:00-04:00,0.0
286,2017-03-20 00:00:00-04:00,0.0
287,2017-03-17 00:00:00-04:00,0.0
288,2017-03-16 00:00:00-04:00,0.0
289,2017-03-15 00:00:00-04:00,0.0
290,2017-03-14 00:00:00-04:00,0.0
291,2017-03-13 00:00:00-04:00,0.0
292,2017-03-10 00:00:00-05:00,0.0
293,2017-03-09 00:00:00-05:00,0.0
294,2017-03-08 00:00:00-05:00,0.0
295,2017-03-07 00:00:00-05:00,0.0
296,2017-03-06 00:00:00-05:00,0.0
297,2017-03-03 00:00:00-05:00,0.0
298,2017-03-02 00:00:00-05:00,0.0
299,2017-03-01 00:00:00-05:00,0.0
300,2017-02-28 00:00:00-05:00,0.0
301,2017-02-27 00:00:00-05:00,0.0
302,2017-02-24 00:00:00-05:00,0.0
303,2017-02-23 00:00:00-05:00,0.0
304,2017-02-22 00:00:00-05:00,0.0
305,2017-02-21 00:00:00-05:00,0.0
306,2017-02-17 00:00:00-05:00,0.0
307,2017-02-16 00:00:00-05:00,0.0
308,2017-02-15 00:00:00-05:00,0.0
309,2017-02-14 00:00:00-05:00,0.0
310,2017-02-13 00:00:00-05:00,0.0
311,2017-02-10 00:00:00-05:00,0.0
